Código IES,Nome da IES - Instituição de Ensino Superior
450,CENTRO UNIVERSITARIO SAO LUCAS JIPARANA
451,CENTRO UNIVERSITARIO LUTERANO DE SANTAREM
452,CENTRO UNIVERSITARIO LUTERANO DE MANAUS
453,CENTRO UNIVERSITARIO LUTERANO DE PALMAS
454,FACULDADE CAMAQUENSE DE CIENCIAS CONTABEIS E A
455,FACULDADE DE FORMACAO DE PROFESSORES E ESPECIA
456,CENTRO UNIVERSITARIO SANT¿ANNA
457,UNIVERSIDADE ANHANGUERA DE SAO PAULO
458,UNIVERSIDADE IBIRAPUERA
459,FACULDADE RENASCENCA
460,FACULDADE DE ARTES PLASTICAS DA FUNDACAO ARMAN
461,FACULDADE ARMANDO ALVARES PENTEADO
462,FACULDADE DE ENGENHARIA DA FUNDACAO ARMANDO AL
463,FACULDADE DE COMUNICACAO E MARKETING DA FUNDAC
464,FACULDADE DE ECONOMIA DA FUNDACAO ARMANDO ALVA
465,FACULDADE DE COMPUTACAO E INFORMATICA DA FUNDA
466,UNIVERSIDADE ANHEMBI MORUMBI
467,FACULDADE DE CIENCIAS CONTABEIS DE ITAPETINING
468,FACULDADE DE FILOSOFIA  CIENCIAS E LETRAS DE I
469,ABEU FACULDADES INTEGRADAS
470,FACULDADE DE ODONTOLOGIA DE NOVA FRIBURGO
472,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSE DE S
473,FACULDADE DE CIENCIAS ECONOMICAS  ADMINISTRATI
474,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DOM B
475,FACULDADE DE MEDICINA DE PETROPOLIS
480,CENTRO UNIVERSITARIO SERRA DOS ORGAOS
481,UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS
482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE
483,CENTRO UNIVERSITARIO METROPOLITANO DE SAO PAUL
487,FACULDADE DE ADMINISTRACAO CIENCIAS CONTABEIS
488,ESCOLA SUPERIOR DE CIENCIAS HUMANAS FISICAS E
489,CENTRO UNIVERSITARIO DE VOLTA REDONDA
490,CENTRO UNIVERSITARIO DE VALENCA
491,CENTRO UNIVERSITARIO DON DOMENICO
492,FACULDADE DE ADMINISTRACAO CIENCIAS ECON E CON
493,FACULDADE DE EDUCACAO DE GUARATINGUETA
494,UNIVERSIDADE DO SUL DE SANTA CATARINA
495,FACULDADE DE CIENCIAS E LETRAS DE BRAGANCA PAU
496,UNIVERSIDADE DE FRANCA
